RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"11418470","","벤","","Ben","Off the Record","2020","3","n","","",  ""
"12433127","","라붐","","LABOUM","Cheese (치즈)","2020","4","n","","",  ""
"9672861","","라붐","","LABOUM","Hwi Hwi","2018","6","n","","",  ""
"10208795","","라붐","","LABOUM","Love Pop Wow!!","2019","5","n","","",  ""
"6334075","","라붐","","LABOUM","Sugar Sugar","2015","4","n","","",  ""
"9372097","","라붐","","LABOUM","Summer Special","2017","6","n","","",  ""
"10956503","","라붐","","LABOUM","상상더하기 Winter ++","2019","4","n","","",  ""
"9372090","","라붐","","LABOUM","겨울동화 (Winter Story)","2016","4","n","","",  ""
"13059018","","러비","","Lovey","24","2016","6","n","","",  ""
"13059052","","러비","","Lovey","25","2017","6","n","","",  ""
"13059111","","러비","","Lovey","27","2019","7","n","","",  ""
"10317757","","로시","","Rothy","Color of Rothy","2019","4","n","","",  ""
"11452545","","루다","","Luda","두니아~처음 만난 세계 OST Part.2","2018","2","n","","",  ""
"10069842","","민수","","Minsu","민수는 혼란스럽다","2019","8","n","","",  ""
"13006971","","백현","","Baekhyun","iScreaM Vol.8 : Bambi Remixes","2021","5","n","","",  ""
"8517625","","선미","","Sunmi","가시나 (Gashina)","2017","3","n","","",  ""
"8873420","","선미","","Sunmi","주인공 (Juingong)","2018","3","n","","",  ""
"10576286","","선미","","Sunmi","날라리 (Lalalay)","2019","3","n","","",  ""
"9510509","","선미","","Sunmi","Warning","2018","8","n","","",  ""
"11109727","","선미","","Sunmi","엑스엑스 (XX) OST Part.1","2020","3","n","","",  ""
"12855436","","세정","","Sejeong","I'm","2021","6","n","","",  ""
"9900080","","수빈","","Subin","Katchup","2019","9","n","","",  ""
"9131084","","옆소","","Girls Next Door","Idol Drama Operation Team, Pt. 2 (Original Soundtrack)","2017","6","n","","",  ""
"12285528","","우아","","woo!ah!","Qurious","2020","6","n","","",  ""
"11469727","","종업","","Jongup","Headache","2020","4","n","","",  ""
"12245469","","카이","","Kai","Kai","2020","6","n","","",  ""
"7600902","","きくお","","Kikuo","いきものの魂のゆくえ (Ikimono no Tamashii no Yukue)","2013","9","n","","",  ""
"12677267","","강태구","","Kang Taegu","bleu","2018","7","n","","",  ""
"9569116","","김사월","","Kim Sawol","Romance","2018","7","n","","",  ""
"10437940","","김오키","","Kim Oki","Spirit Advance Unit (스피릿선발대)","2019","8","n","","",  ""
"11065288","","김재중","","Kim Jae Joong","애요","2020","1","n","","",  ""
"9409810","","뱃사공","","Bassagong","탕아","2018","8","n","","",  ""
"9263715","","새소년","","SE SO NEON","파도 (The Wave)","2017","9","n","","",  ""
"8583403","","엘리스","","Elris","We, First","2017","8","n","","",  ""
"10715722","","위걸스","","We Girls","Girl's Wings Fly","2018","5","n","","",  ""
"10715707","","위걸스","","We Girls","On Air","2018","5","n","","",  ""
"10627552","","위걸스","","We Girls","Ride","2019","4","n","","",  ""
"7601505","","유니콘","","Unicorn","The Brand New Label","2016","8","n","","",  ""
"11196857","","육성재","","Yook Sungjae","YOOK O'clock","2020","3","n","","",  ""
"11303160","","윤종신","","Yoon Jong-shin","행보 2019 윤종신","2020","7","n","","",  ""
"12306999","","이선지","","Sunji Lee","Song of April","2018","8","n","","",  ""
"12110469","","이진아","","Lee Jin-ah","Candy Pianist","2020","8","n","","",  ""
"13055335","","이진아","","Lee Jin-ah","Children Are Happy (Original Motion Picture Soundtrack)","2021","7","n","","",  ""
"11064865","","이해리","","Lee Hae Ri","From H","2020","2","n","","",  ""
"9463260","","장필순","","Jang Pil-Soon","Soony Eight : 소길花","2018","7","n","","",  ""
"12261771","","한동근","","Han Dong-geun","재회 : 구름에 가려진 별","2020","4","n","","",  ""
"11053073","","이달의 소녀","","LOONA","#","2020","9","n","","",  ""
"9481809","","이달의 소녀","","LOONA","+ +","2018","8","n","","",  ""
"12024977","","이달의 소녀","","LOONA","12:00","2020","7","n","","",  ""
"10029448","","이달의 소녀","","LOONA","X X","2019","7","n","","",  ""
"9422624","","네온펀치","","NeonPunch","Moonlight","2018","7","n","","",  ""
"12366565","","버스터즈","","Bursters","Once and for All","2020","2","n","","",  ""
"11938737","","보토패스","","Botopass","Flamingo","2020","4","n","","",  ""
"11012055","","비오브유","","B.O.Y","Phase One: You","2020","1","n","","",  ""
"10788591","","서사무엘","Samuel","Seo","The Misfit","2019","4","n","","",  ""
"10587333","","선우정아","","Sunwoo Jung-a","Stunning","2019","9","n","","",  ""
"11337587","","스텔라장","Stella","Jang","STELLA I","2020","8","n","","",  ""
"11170366","","스펙트럼","","Spectrum","0325","2020","3","n","","",  ""
"13017036","","써드아이","","3YE","어쩌다 가족 OST Part.11","2021","6","n","","",  ""
"11764147","","써드아이","","3YE","Summer Special","2020","3","n","","",  ""
"11699478","","써드아이","","3YE","Triangle","2020","6","n","","",  ""
"8310492","","우주소녀","","WJSN","Happy Moment","2017","8","n","","",  ""
"7600501","","우주소녀","","WJSN","The Secret","2016","7","n","","",  ""
"7224624","","우주소녀","","WJSN","Would You Like?","2016","9","n","","",  ""
"12249834","","위키미키","","Weki Meki","산막이옛길을 달리는 소녀 (The Girls Running on the Sanmagiyet-gil)","2020","7","n","","",  ""
"12855417","","이터니티","","Eternity","I'm Real","2021","1","n","","",  ""
"9868780","","잠비나이","","Jambinai","온다 (Onda)","2019","9","n","","",  ""
"10414535","","보수동쿨러","","Bosudong Cooler","Yeah, I Don't Want It","2019","8","n","","",  ""
"11313770","","코드쿤스트","","Code Kunst","People","2020","3","n","","",  ""
"10032746","","핑크레이디","The","Pink Lady","God Girl (갓걸)","2019","8","n","","",  ""
"12117672","","환불원정대","","Refund Sisters","Don't Touch Me","2020","5","n","","",  ""
"9306892","","프로미스나인","","fromis_9","To. Day","2018","4","n","","",  ""
"8934521","","프로미스나인","","fromis_9","To. Heart","2018","4","n","","",  ""
"9281165","","이달의 소녀 1/3","","LOONA 1/3","Love &amp; Evil","2017","9","n","","",  ""
"12212832","","aespa","","","Black Mamba","2020","8","n","","",  ""
"4007926","","akiko","","","Swingy Swingy With Chai-Chii Sisters","2012","7","n","","",  ""
"10763079","","ARIAZ","","","Grand Opera","2019","6","n","","",  ""
"11216988","","ASTRO","","","One &amp; Only","2020","2","n","","",  ""
"11008255","","ATEEZ","","","Treasure Epilogue: Action to Answer","2020","3","n","","",  ""
"12933145","","BAE173","","","Intersection : Trace","2021","2","n","","",  ""
"12513361","","Berry Good","","","Undying Love","2021","4","n","","",  ""
"4698603","","BESTie","","","Pitapat","2013","6","n","","",  ""
"5371982","","BESTie","","","Thank U Very Much","2014","4","n","","",  ""
"10663887","","Black String","","","Karma","2019","9","n","","",  ""
"8958095","","BTS","","","Face Yourself","2018","3","n","","",  ""
"11012584","","BTS","","","Map of the Soul: 7","2020","2","n","","",  ""
"11623790","","BTS","","","Map of the Soul: 7 ~ The Journey","2020","5","n","","",  ""
"6026437","","BTS","","","Wake Up","2014","6","n","","",  ""
"7518445","","BTS","","","Youth","2016","6","n","","",  ""
"10766945","","Bvndit","","","Be!","2019","5","n","","",  ""
"12966141","","CHAI","","","Let's Love!","2021","6","n","","",  ""
"11126567","","Cherry Bullet","","","무릎을 탁 치고 (Hands Up)","2020","8","n","","",  ""
"9957357","Kriesha","Chu","","","1st Single Album","2017","6","n","","",  ""
"12299700","","CIFIKA","","","청춘","2020","8","n","","",  ""
"11929131","","CIFIKA","","","HANA","2020","8","n","","",  ""
"9059063","","CIFIKA","","","PRISM","2018","8","n","","",  ""
"12140355","","CSVC","","","무자비(無慈悲)","2020","8","n","","",  ""
"11359526","","Deepflow","","","Founder","2020","7","n","","",  ""
"11015474","","DreamNote","","","Dream Wish","2020","4","n","","",  ""
"11031761","","ENOi","","","Red in the Apple","2020","5","n","","",  ""
"8995832","","E SENS","","","Sleep Tight","2015","9","n","","",  ""
"11053409","","Everglow","","","Reminiscence","2020","4","n","","",  ""
"8166163","","EXID","","","Eclipse","2017","6","n","","",  ""
"8665992","","EXID","","","Full Moon","2017","7","n","","",  ""
"10531115","","FANATICS","","","The Six","2019","5","n","","",  ""
"10784014","","Favorite","","","Catch Me","2019","5","n","","",  ""
"4649145","","f(x)","","","Pink Tape","2013","7","n","","",  ""
"11308473","","(G)I-DLE","","","I Trust","2020","5","n","","",  ""
"10467851","","(G)I-DLE","","","Latata","2019","5","n","","",  ""
